CADS,Coordenação ADS,"Coordenação do curso de Análise e Desenvolvimento de Sistemas.",,,,
SAP,Setor de Assessoria Pedagógica,"Setor responsável pelo suporte pedagógico a estudantes e famílias, organização acadêmica e acompanhamento educacional.",,,,
SECENS,Secretaria da Direção de Ensino,"Secretaria administrativa que apoia a Direção de Ensino e organiza documentos e agendas.",,,,
AUXBOLS,Auxílios e Bolsas,"Setor que administra auxílios financeiros, bolsas estudantis e programas de permanência.",,,,
SAUDE,Setor de Saúde,"Setor responsável por atendimento a estudantes, ações de saúde e campanhas preventivas.",,,,
SAN,Setor de Alimentação e Nutrição,"Setor encarregado do refeitório, controle nutricional e cardápios.",,,,
BIB,Biblioteca,"Biblioteca do campus, com acervo físico e digital, serviços de empréstimo e salas de estudo.",,,,
ESTAG,Setor de Estágios,"Setor responsável por estágios obrigatórios, convênios e acompanhamento de estudantes.",,,,
CONTAB,Setor de Contabilidade,"Unidade que realiza registros contábeis, balanços e controle de despesas.",,,,
SOF,Setor de Orçamentos e Finanças,"Setor responsável pela execução orçamentária e controle financeiro institucional.",,,,
ENGARQ,Setor de Engenharia e Arquitetura,"Setor responsável por projetos estruturais, manutenção avançada e obras do campus.",,,,
ALMOX,Almoxarifado,"Setor de armazenamento, distribuição de materiais e controle de estoque institucional.",,,,
PATR,Setor de Patrimônio,"Responsável pelo controle patrimonial, tombamento e movimentação de bens.",,,,
NUGEA,Núcleo de Gestão Ambiental,"Núcleo dedicado a ações de sustentabilidade, gestão ambiental e projetos ecológicos.",,,,
NIT,Núcleo de Inovação Tecnológica,"Núcleo responsável pela inovação, patentes, incubação e transferência de tecnologia.",,,,
NAPNE,Núcleo de Apoio a Pessoas com Necessidades Especiais,"Núcleo voltado à acessibilidade, inclusão e suporte especializado.",,,,
NEABI,Núcleo de Estudos Afro-Brasileiros e Indígenas,"Núcleo que promove cultura afro-brasileira e indígena, políticas afirmativas e ações educacionais.",,,,
NUGEDIS,Núcleo de Gênero e Diversidade Sexual,"Núcleo que trabalha temas de diversidade, igualdade de gênero e direitos humanos.",,,,
